No Agenda,Tanggal,No. Bukti,Sumber Dana,Bank Tujuan,Kriteria CF,Penerima/dari,Uraian,Debet,Kredit,@,Edit Uraian,Revisi Nominal,Nilai Ajuan,Uraian Asli
0004_2026,02/01/2026,1, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALSEL , Pemasok TBS di PKS Pelaihari , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 31 Desember 2025 ,,  160.718.995 ,,,,  160.718.995 , Permintaan pembayaran TBS Pemasok di PKS Pelaihari periode tgl. 31 Desember 2025 
0005_2026,02/01/2026,2, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Ngabang , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 31 Desember 2025 ,,  160.867.822 ,,,,  160.867.822 , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 31 Desember 2025 
0006_2026,02/01/2026,3, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALTIM , Pemasok di PKS Long Pinang , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 31 Desember 2025 ,,  285.516.420 ,,,,  285.516.420 , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 31 Desember 2025 
0007_2026,02/01/2026,4, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Gunung Meliau , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 31 Desember 2025 ,,  151.182.894 ,,,,  151.182.894 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 31 Desember 2025 
0007_2026,02/01/2026,, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Gunung Meliau , Biaya Administrasi MCM ,,  14.500 ,,Biaya Administrasi MCM,  14.500 ,  151.182.894 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 31 Desember 2025 
,06/01/2026,5, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,  ,  , Pembayaran Partisipasi Rangkaian Perundingan PKB PTPN IV Periode 2026 - 2027 Sesuai Surat Nomor DSDM/KOL/eM-8/I/2026 ,,  55.351.653 ,,Pembayaran Partisipasi Rangkaian Perundingan PKB PTPN IV Periode 2026 - 2027 Sesuai Surat Nomor DSDM/KOL/eM-8/I/2026,  55.351.653 ,  - ,  
10012_2025,06/01/2026,6, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Kebun Gunung Emas , Pembayaran biaya Perayaan Natal Oikumene PHBK Wilayah Kalbar sesuai Memo No. 5SKH/5SBS/M-1024/XII/2025 tgl. 24 Desember 2025 ,,  5.000.000 ,,,,  5.000.000 , Pembayaran biaya Perayaan Natal Oikumene PHBK Wilayah Kalbar sesuai Memo No. 5SKH/5SBS/M-1024/XII/2025 tgl. 24 Desember 2025 
9656_2025,06/01/2026,7, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Sungai Dekan , Pembayaran biaya Perayaan Natal Oikumene PHBK Kebun Sungai Dekan No. 5SKH/5SBS/M-977/XII/2025 tgl. 9 Desember 2025 ,,  5.000.000 ,,,,  5.000.000 , Pembayaran biaya Perayaan Natal Oikumene PHBK Kebun Sungai Dekan No. 5SKH/5SBS/M-977/XII/2025 tgl. 9 Desember 2025 
9625_2025,06/01/2026,8, PT. Bank Mandiri (OPEX) * 146-00-9702740-8 ,,, Kebun Tajati Bank Mandiri Rekg. 81029155507 , Biaya Penyelesaian Klaim/Pemortalan Areal Afdeling III Kebun Tajati Oleh Masyarakat Desa Laburan dan Dewan Adat Sungai Batu sesuai Memorandum No. 5KTJ/5SOI/M-40/XII/2025 tgl. 16 Desember 2025 perihal Permintaan Biaya Penyelesaian Klaim/Pemortalan Areal Afdeling 3 Oleh Masyarakat Desa Laburan dan Dewan Adat Sungai Batu dan sesuai dengan disposisi SEVP Operation I (Terlampir) ,,  50.000.000 ,,,,  50.000.000 , Biaya Penyelesaian Klaim/Pemortalan Areal Afdeling III Kebun Tajati Oleh Masyarakat Desa Laburan dan Dewan Adat Sungai Batu sesuai Memorandum No. 5KTJ/5SOI/M-40/XII/2025 tgl. 16 Desember 2025 perihal Permintaan Biaya Penyelesaian Klaim/Pemortalan Areal Afdeling 3 Oleh Masyarakat Desa Laburan dan Dewan Adat Sungai Batu dan sesuai dengan disposisi SEVP Operation I (Terlampir) 
0018_2026,06/01/2026,9, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Gunung Meliau , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 1 s.d. 4 Januari 2025 ,,  1.039.538.838 ,,,,  1.039.538.838 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 1 s.d. 4 Januari 2025 
0019_2026,06/01/2026,10, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Rimba Belian , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 1 s.d. 4 Januari 2026 ,,  645.012.427 ,,,,  645.012.427 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 1 s.d. 4 Januari 2026 
0020_2026,06/01/2026,11, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Parindu , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 1 s.d. 4 Januari 2026 ,,  829.408.282 ,,,,  829.408.282 , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 1 s.d. 4 Januari 2026 
0021_2026,06/01/2026,12, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Ngabang , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 1 s.d. 4 Januari 2026 ,,  363.104.962 ,,,,  363.104.962 , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 1 s.d. 4 Januari 2026 
0022_2026,06/01/2026,13, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Kembayan , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 1 s.d. 4 Januari 2026 ,,  177.932.853 ,,,,  177.932.853 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Kembayan periode tgl. 1 s.d. 4 Januari 2026 
0023_2026,06/01/2026,14, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALTIM , Pemasok di PKS Long Pinang , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 1 s.d. 4 Januari 2026 ,,  534.479.652 ,,,,  534.479.652 , Permintaan pembayaran TBS di PKS Long Pinang periode tgl. 1 s.d. 4 Januari 2026 
0039_2026,06/01/2026,15, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Gunung Meliau , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 5 Januari 2026 ,,  650.883.113 ,,,,  650.883.113 , Permintaan pembayaran Pembelian TBS Plasma/Pekebun Swadaya P.III PKS Gunung Meliau periode tgl. 5 Januari 2026 
0040_2026,06/01/2026,16, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Rimba Belian , Permintaan pembayaran pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 5 Januari 2026 ,,  476.113.732 ,,,,  476.113.732 , Permintaan pembayaran pembelian TBS Plasma/Pekebun Swadaya P.III PKS Rimba Belian periode tgl. 5 Januari 2026 
0041_2026,06/01/2026,17, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Parindu , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 5 Januari 2026 ,,  778.288.401 ,,,,  778.288.401 , Permintaan pembayaran Pembelian TBS di PKS Parindu periode tgl. 5 Januari 2026 
0042_2026,06/01/2026,18, PT. Bank Mandiri (Cadangan MTN) * 146-00-1201420-0 ,, 50. Pembelian TBS KALBAR & P3BB , Pemasok TBS di PKS Ngabang , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 5 Januari 2026 ,,  302.332.275 ,,,,  302.332.275 , Permintaan pembayaran Pembelian TBS Pekebun Swadaya/Pihak III PKS Ngabang periode tgl. 5 Januari 2026 
